unnamed_0,sim_id,boom,crash,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,rank
0,7326344562,0.2148534169804534,0.108931270321628,0.5281670374317303,0.480752499058481,0.4523649866272885,0.1160815426290199,0.469947625712502,-1.610873890759571,-0.8077432304573252,0.5519063299430759,0.0728184744397569,0.1843603374577043,0.2343209854573474,0.2005440388086775,1.0299193492288197,3.854667243476792,-1.5386341511234607,-0.012113730239527,0.0307445770667083,0
0,6225757371,0.2146670841659526,0.1095948481618507,0.5508041310570007,0.4837358381060429,0.4484002457422431,0.1153240440454274,0.471777088392788,-1.6134966386892085,-0.8083554825172568,0.5391452765080589,0.0326608091857393,0.1927023478005717,0.2295062844221587,0.1745756828537397,1.020267055214592,3.8619989606318352,-1.5253655958406562,-0.0121626429352135,0.0472982011507354,0
0,6623898487,0.2111219799588612,0.1096823702599782,0.5319168380942743,0.4809685326769992,0.4406195947044849,0.114571499370292,0.4718053618509817,-1.6109110322179268,-0.8071356400627738,0.5477256310182106,0.0719170244042895,0.1905385236370715,0.3477323931335144,0.1739974158209338,1.0201190177022803,3.851578020341979,-1.5268162757033918,-0.011960144001873,0.0306833013305722,0
0,3362512257,0.2107001261316099,0.110381061401134,0.5338088956352716,0.4796403788383599,0.4456036352038841,0.1168222645212802,0.4717932840101877,-1.613502187684244,-0.8190552859160652,0.547375887642803,0.0702961789039297,0.0825522187114872,0.4710010186095956,0.1790982626664557,1.0258406358518315,3.862896158117888,-1.5271537022395565,-0.0119926721839797,0.0271936828548829,0
0,7292273141,0.2088629830528563,0.1146626500784411,0.5367327155818108,0.4802500940079977,0.4615077209352476,0.1182510469328174,0.4642285922590605,-1.6287219010422405,-0.8195321485492809,0.5395909173946847,0.0261098312482899,0.0285582250184467,0.2070284216853616,0.1491006152302091,1.026164059219241,3.814279062572808,-1.5329574631143563,-0.0121372302816379,0.0218930336387939,0
0,8217381234,0.2026904183388094,0.1176637246179643,0.5339525742346771,0.4794313971176935,0.4454761036551121,0.1153084194934148,0.4717506552760691,-1.6126662241942786,-0.8209198116233489,0.5574327312360374,0.0703310181835615,0.0856105939898859,0.3454750529196638,0.1792912303574382,1.025840658736789,3.862896158117888,-1.5273207854027515,-0.0121566148653681,0.0292282006538307,0
0,9221192482,0.1957576249446007,0.1203204500146444,0.5293599113689464,0.483336592803255,0.4496149074013236,0.1144231249456563,0.4714480797387599,-1.6143664730710436,-0.8197455808483999,0.5507786336126937,0.0282370974451603,0.0819843015718036,0.330582448350419,0.1690428841525207,1.020017867439702,3.868209090345925,-1.5319105225811882,-0.0121609382851626,0.018247500520907,0
0,3437404563,0.1957576249446007,0.1203204500146444,0.5293599113689464,0.483336592803255,0.4496149074013236,0.1144231249456563,0.4714480797387599,-1.6143664730710436,-0.8197455808483999,0.5507786336126937,0.0282370974451603,0.0819843015718036,0.330582448350419,0.1690428841525207,1.020017867439702,3.868209090345925,-1.5319105225811882,-0.0121609382851626,0.0008831831693351,0
0,9656009318,0.1957576249446007,0.1203204500146444,0.5293599113689464,0.483336592803255,0.4496149074013236,0.1144231249456563,0.4714480797387599,-1.6143664730710436,-0.8197455808483999,0.5507786336126937,0.0282370974451603,0.0819843015718036,0.330582448350419,0.1690428841525207,1.020017867439702,3.868209090345925,-1.5319105225811882,-0.0121609382851626,0.0071873669627828,0
0,4943993062,0.1885297663854905,0.1205879694915321,0.5238645031206167,0.4837314117102276,0.4482572071217361,0.1153085195715497,0.4720172220188712,-1.6132104649855452,-0.8143600182041529,0.5518563288752713,0.0263510996581277,0.190626246749383,0.2890161790118783,0.3641466169867633,1.0179435584368883,3.8625799469804303,-1.4271609668535676,-0.0076362169504676,0.0247547944794226,0
